run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
5-w,web,1,1,0,8,3,11.522220635478,2.18241368720045,4.03788700290276,-1.24672631713393
50-w,web,1,1,0,8,3,11.5080954582547,2.19463582187037,4.05132808336298,-1.28946904582851
51-w,web,1,0,1,2,2,9.31611638239258,2.1883468754467,2.46394734753205,-1.28515409088533
52-w,web,1,1,1,2,1,9.27450706046363,2.1992845886241,2.45751745481803,-1.2909413118382
53-w,web,1,1,1,8,2,11.5989303055105,2.18810698240156,4.05191293160742,-1.29032979232465
54-w,web,1,1,1,8,2,11.5139104506663,2.18810698240156,4.05233706577026,-1.28960780167804
55-w,web,1,1,1,2,3,9.33788416039057,2.31290350913807,2.45728134153369,-1.28910841398331
56-w,web,1,1,1,8,2,11.5037851665325,2.18782921579547,4.0531800563897,-1.29141423014011
57-w,web,1,1,1,8,3,11.5528575334074,2.1886499031466,4.05470247800345,-1.2896355562703
58-w,web,1,0,0,8,3,11.5257344751894,2.18811960826573,4.05242398390745,-1.29041314868743
59-w,web,1,0,0,8,3,11.5149198158509,2.1929812722446,4.05388414966001,-1.29202673575985
6-w,web,1,0,0,2,1,9.26228738723776,2.18295642344869,2.45657595034918,-1.25301825082232
60-w,web,1,0,0,8,1,11.5521165300295,2.18484982720239,4.0493642095574,-1.26781148965281
61-w,web,1,0,0,2,3,9.26887852988324,2.1883468754467,2.45527189868714,-1.26773083143629
62-w,web,1,1,0,2,1,9.31154488460556,2.18512754442397,2.45432100481155,-1.27053243188336
63-w,web,1,0,0,8,2,11.5136580198477,2.18728632162706,4.04999081863586,-1.26953441936244
64-w,web,1,1,1,8,2,11.5805465822581,2.18486245061256,4.05012957787208,-1.26864550311705
65-w,web,1,0,1,8,2,11.5065753715461,2.18702119365635,4.05077063747543,-1.2707484064489
66-w,web,1,1,1,8,1,11.5063218973844,2.3093809006117,4.05062453025092,-1.2700737081429
67-w,web,1,1,0,8,1,11.5795737479147,2.30964793266315,4.04865725094215,-1.26775771647524
68-w,web,1,0,1,2,2,9.26981796151902,2.31294166402466,2.45724791522792,-1.26687105496781
69-w,web,1,0,0,8,2,11.5166848278913,2.28511082362261,4.0501241534208,-1.26983097657735
7-w,web,1,0,1,8,3,11.568347825711,2.18295642344869,4.05092443091895,-1.24852962493732
70-w,web,1,0,0,2,2,9.26417327746575,2.18295642344869,2.4515492502747,-1.26802662371008
71-w,web,1,1,0,2,3,9.2603993240013,2.18948325755681,2.45374252386872,-1.26711276041303
72-w,web,1,1,0,2,1,9.36646650161733,2.18295642344869,2.45603745081737,-1.26740829151172
73-w,web,1,1,1,8,1,11.4976822051721,2.18945800378447,4.04862380755814,-1.26843017855491
74-w,web,1,0,1,8,3,11.5035312942895,2.18377687211801,4.04991372344125,-1.26692476008209
75-w,web,1,1,0,2,1,9.26134362756827,2.18731157212872,2.454798710166,-1.26808041756611
76-w,web,1,1,1,2,2,9.30879586309375,2.18295642344869,2.45558833047992,-1.27026255781601
77-w,web,1,1,0,2,1,9.27918278527581,2.19275394228412,2.45403882860193,-1.26304174894464
78-w,web,1,1,1,8,2,11.5397208634919,2.18404194874395,4.04907221664611,-1.26783837779167
79-w,web,1,1,0,2,3,9.32794305578649,2.18295642344869,2.4509889010693,-1.27012765997081
8-w,web,1,1,1,8,3,11.5229741855204,2.18322148708297,4.04977751018029,-1.24962950150436
80-w,web,1,1,0,2,2,9.286636322273,2.19375169110752,2.45669570288776,-1.26797283399173
81-w,web,1,0,1,2,2,9.30604223003786,2.22940625989398,2.45485921990244,-1.27066740813711
82-w,web,1,0,1,8,2,11.541461460285,2.18567036865318,4.04836966544932,-1.26767706445742
83-w,web,1,1,1,2,2,9.26511540931205,2.2932140196488,2.45629647974472,-1.26856474863005
84-w,web,1,1,1,8,3,11.536234556169,2.18349917729721,4.04949904014938,-1.26783837779167
85-w,web,1,0,1,8,1,11.5936281604681,2.18782921579547,4.04543768132514,-1.24482335189426
86-w,web,1,0,1,8,1,11.495898221143,2.18945800378447,4.04851775460501,-1.26956137389967
87-w,web,1,1,0,2,3,9.30328396945607,2.18295642344869,2.45321569342945,-1.27023557615785
88-w,web,1,0,0,8,3,14.1874652698572,1.81479096896255,4.05399088173544,-1.35151795246957
